deslocamento_final,z_padronizado
94.0,0.94
62.0,0.62
192.0,1.92
138.0,1.38
102.0,1.02
126.0,1.26
66.0,0.66
-60.0,-0.6
-14.0,-0.14
-150.0,-1.5
2.0,0.02
-134.0,-1.34
222.0,2.22
62.0,0.62
56.0,0.56
-120.0,-1.2
32.0,0.32
-98.0,-0.98
80.0,0.8
38.0,0.38
-126.0,-1.26
-240.0,-2.4
100.0,1.0
56.0,0.56
46.0,0.46
-54.0,-0.54
2.0,0.02
2.0,0.02
-44.0,-0.44
-156.0,-1.56
38.0,0.38
10.0,0.1
-146.0,-1.46
-104.0,-1.04
-4.0,-0.04
60.0,0.6
-138.0,-1.38
-158.0,-1.58
156.0,1.56
46.0,0.46
90.0,0.9
120.0,1.2
-30.0,-0.3
64.0,0.64
60.0,0.6
28.0,0.28
-50.0,-0.5
-86.0,-0.86
46.0,0.46
76.0,0.76
-8.0,-0.08
-4.0,-0.04
-42.0,-0.42
82.0,0.82
-32.0,-0.32
154.0,1.54
74.0,0.74
-48.0,-0.48
56.0,0.56
-16.0,-0.16
48.0,0.48
64.0,0.64
64.0,0.64
30.0,0.3
-28.0,-0.28
-40.0,-0.4
42.0,0.42
76.0,0.76
82.0,0.82
-70.0,-0.7
-228.0,-2.28
-98.0,-0.98
78.0,0.78
190.0,1.9
-2.0,-0.02
-4.0,-0.04
56.0,0.56
2.0,0.02
-32.0,-0.32
-62.0,-0.62
70.0,0.7
22.0,0.22
128.0,1.28
-64.0,-0.64
72.0,0.72
-36.0,-0.36
-56.0,-0.56
-68.0,-0.68
2.0,0.02
88.0,0.88
-8.0,-0.08
28.0,0.28
-74.0,-0.74
-32.0,-0.32
-26.0,-0.26
-14.0,-0.14
-52.0,-0.52
28.0,0.28
180.0,1.8
-10.0,-0.1
56.0,0.56
-38.0,-0.38
232.0,2.32
60.0,0.6
-48.0,-0.48
66.0,0.66
2.0,0.02
6.0,0.06
-110.0,-1.1
-58.0,-0.58
78.0,0.78
-44.0,-0.44
28.0,0.28
-72.0,-0.72
22.0,0.22
34.0,0.34
-70.0,-0.7
174.0,1.74
-6.0,-0.06
52.0,0.52
46.0,0.46
50.0,0.5
68.0,0.68
62.0,0.62
110.0,1.1
-18.0,-0.18
112.0,1.12
128.0,1.28
198.0,1.98
-110.0,-1.1
-142.0,-1.42
26.0,0.26
-46.0,-0.46
-108.0,-1.08
-220.0,-2.2
136.0,1.36
42.0,0.42
72.0,0.72
-150.0,-1.5
-58.0,-0.58
162.0,1.62
-46.0,-0.46
90.0,0.9
4.0,0.04
-14.0,-0.14
-116.0,-1.16
38.0,0.38
74.0,0.74
-10.0,-0.1
-2.0,-0.02
4.0,0.04
-10.0,-0.1
106.0,1.06
-54.0,-0.54
-12.0,-0.12
18.0,0.18
-38.0,-0.38
6.0,0.06
222.0,2.22
-28.0,-0.28
38.0,0.38
62.0,0.62
-48.0,-0.48
104.0,1.04
30.0,0.3
-46.0,-0.46
-108.0,-1.08
192.0,1.92
24.0,0.24
44.0,0.44
-90.0,-0.9
118.0,1.18
42.0,0.42
14.0,0.14
-40.0,-0.4
-50.0,-0.5
78.0,0.78
30.0,0.3
74.0,0.74
-108.0,-1.08
-194.0,-1.94
-254.0,-2.54
-108.0,-1.08
6.0,0.06
-28.0,-0.28
-120.0,-1.2
144.0,1.44
160.0,1.6
28.0,0.28
-94.0,-0.94
-8.0,-0.08
-88.0,-0.88
-68.0,-0.68
22.0,0.22
12.0,0.12
-60.0,-0.6
94.0,0.94
4.0,0.04
-12.0,-0.12
84.0,0.84
-6.0,-0.06
28.0,0.28
-80.0,-0.8
-132.0,-1.32
0.0,0.0
106.0,1.06
90.0,0.9
10.0,0.1
38.0,0.38
-16.0,-0.16
-216.0,-2.16
-22.0,-0.22
-2.0,-0.02
74.0,0.74
120.0,1.2
-128.0,-1.28
172.0,1.72
-114.0,-1.14
106.0,1.06
62.0,0.62
66.0,0.66
76.0,0.76
18.0,0.18
-78.0,-0.78
-42.0,-0.42
-12.0,-0.12
-4.0,-0.04
-120.0,-1.2
-28.0,-0.28
96.0,0.96
88.0,0.88
-146.0,-1.46
0.0,0.0
-140.0,-1.4
-42.0,-0.42
-30.0,-0.3
-190.0,-1.9
0.0,0.0
152.0,1.52
2.0,0.02
30.0,0.3
16.0,0.16
54.0,0.54
-114.0,-1.14
-166.0,-1.66
62.0,0.62
-2.0,-0.02
-66.0,-0.66
-232.0,-2.32
-98.0,-0.98
-108.0,-1.08
168.0,1.68
98.0,0.98
12.0,0.12
20.0,0.2
-34.0,-0.34
-20.0,-0.2
-214.0,-2.14
-234.0,-2.34
-72.0,-0.72
-42.0,-0.42
60.0,0.6
50.0,0.5
30.0,0.3
-86.0,-0.86
-32.0,-0.32
66.0,0.66
92.0,0.92
110.0,1.1
-6.0,-0.06
138.0,1.38
88.0,0.88
98.0,0.98
-144.0,-1.44
54.0,0.54
86.0,0.86
164.0,1.64
-6.0,-0.06
94.0,0.94
-128.0,-1.28
-156.0,-1.56
14.0,0.14
120.0,1.2
60.0,0.6
162.0,1.62
-82.0,-0.82
48.0,0.48
-126.0,-1.26
30.0,0.3
-52.0,-0.52
-102.0,-1.02
-104.0,-1.04
-250.0,-2.5
-80.0,-0.8
-2.0,-0.02
-22.0,-0.22
-118.0,-1.18
44.0,0.44
-132.0,-1.32
-98.0,-0.98
26.0,0.26
30.0,0.3
38.0,0.38
124.0,1.24
-14.0,-0.14
174.0,1.74
266.0,2.66
130.0,1.3
110.0,1.1
-40.0,-0.4
-84.0,-0.84
64.0,0.64
66.0,0.66
-14.0,-0.14
-70.0,-0.7
122.0,1.22
-52.0,-0.52
196.0,1.96
-62.0,-0.62
46.0,0.46
36.0,0.36
-54.0,-0.54
122.0,1.22
-8.0,-0.08
202.0,2.02
-16.0,-0.16
10.0,0.1
6.0,0.06
120.0,1.2
-14.0,-0.14
214.0,2.14
-158.0,-1.58
130.0,1.3
-68.0,-0.68
-156.0,-1.56
-48.0,-0.48
-42.0,-0.42
138.0,1.38
-10.0,-0.1
-342.0,-3.42
-112.0,-1.12
-14.0,-0.14
-56.0,-0.56
-36.0,-0.36
118.0,1.18
160.0,1.6
-70.0,-0.7
-104.0,-1.04
-76.0,-0.76
100.0,1.0
10.0,0.1
40.0,0.4
34.0,0.34
-138.0,-1.38
-68.0,-0.68
-180.0,-1.8
-198.0,-1.98
-38.0,-0.38
24.0,0.24
30.0,0.3
120.0,1.2
-52.0,-0.52
24.0,0.24
-106.0,-1.06
-12.0,-0.12
-86.0,-0.86
32.0,0.32
74.0,0.74
-24.0,-0.24
-98.0,-0.98
48.0,0.48
-20.0,-0.2
66.0,0.66
10.0,0.1
-76.0,-0.76
110.0,1.1
72.0,0.72
-12.0,-0.12
74.0,0.74
50.0,0.5
58.0,0.58
-12.0,-0.12
178.0,1.78
-32.0,-0.32
30.0,0.3
-18.0,-0.18
-206.0,-2.06
54.0,0.54
124.0,1.24
18.0,0.18
-34.0,-0.34
70.0,0.7
86.0,0.86
104.0,1.04
-74.0,-0.74
-42.0,-0.42
-98.0,-0.98
24.0,0.24
74.0,0.74
32.0,0.32
10.0,0.1
-112.0,-1.12
-8.0,-0.08
-36.0,-0.36
-166.0,-1.66
-6.0,-0.06
30.0,0.3
138.0,1.38
-36.0,-0.36
-146.0,-1.46
-76.0,-0.76
-46.0,-0.46
30.0,0.3
-88.0,-0.88
-58.0,-0.58
74.0,0.74
-190.0,-1.9
-48.0,-0.48
24.0,0.24
72.0,0.72
120.0,1.2
-112.0,-1.12
44.0,0.44
-58.0,-0.58
-96.0,-0.96
34.0,0.34
-166.0,-1.66
-92.0,-0.92
38.0,0.38
-10.0,-0.1
90.0,0.9
172.0,1.72
108.0,1.08
-130.0,-1.3
-24.0,-0.24
-62.0,-0.62
-100.0,-1.0
-2.0,-0.02
218.0,2.18
-258.0,-2.58
-62.0,-0.62
-94.0,-0.94
-28.0,-0.28
-48.0,-0.48
8.0,0.08
-32.0,-0.32
30.0,0.3
74.0,0.74
-70.0,-0.7
-126.0,-1.26
2.0,0.02
-48.0,-0.48
60.0,0.6
-96.0,-0.96
-84.0,-0.84
-56.0,-0.56
114.0,1.14
-72.0,-0.72
-82.0,-0.82
-122.0,-1.22
-22.0,-0.22
132.0,1.32
246.0,2.46
66.0,0.66
2.0,0.02
16.0,0.16
46.0,0.46
22.0,0.22
72.0,0.72
-74.0,-0.74
-4.0,-0.04
52.0,0.52
46.0,0.46
112.0,1.12
-10.0,-0.1
-34.0,-0.34
10.0,0.1
36.0,0.36
-38.0,-0.38
-148.0,-1.48
-4.0,-0.04
-54.0,-0.54
-8.0,-0.08
0.0,0.0
-14.0,-0.14
-70.0,-0.7
-64.0,-0.64
-170.0,-1.7
-54.0,-0.54
-34.0,-0.34
200.0,2.0
36.0,0.36
74.0,0.74
106.0,1.06
68.0,0.68
86.0,0.86
178.0,1.78
24.0,0.24
72.0,0.72
-162.0,-1.62
90.0,0.9
134.0,1.34
4.0,0.04
-112.0,-1.12
36.0,0.36
-172.0,-1.72
10.0,0.1
94.0,0.94
-88.0,-0.88
40.0,0.4
12.0,0.12
-22.0,-0.22
10.0,0.1
102.0,1.02
-14.0,-0.14
-14.0,-0.14
48.0,0.48
-84.0,-0.84
-214.0,-2.14
-190.0,-1.9
-112.0,-1.12
-112.0,-1.12
0.0,0.0
-76.0,-0.76
-64.0,-0.64
12.0,0.12
-16.0,-0.16
42.0,0.42
20.0,0.2
-16.0,-0.16
124.0,1.24
134.0,1.34
-140.0,-1.4
22.0,0.22
-88.0,-0.88
70.0,0.7
78.0,0.78
64.0,0.64
-158.0,-1.58
38.0,0.38
178.0,1.78
56.0,0.56
-60.0,-0.6
-54.0,-0.54
-70.0,-0.7
-6.0,-0.06
-28.0,-0.28
-108.0,-1.08
-56.0,-0.56
44.0,0.44
-160.0,-1.6
-68.0,-0.68
-14.0,-0.14
-24.0,-0.24
-12.0,-0.12
-52.0,-0.52
26.0,0.26
-58.0,-0.58
-108.0,-1.08
-32.0,-0.32
16.0,0.16
-46.0,-0.46
22.0,0.22
66.0,0.66
0.0,0.0
-120.0,-1.2
-80.0,-0.8
-46.0,-0.46
72.0,0.72
-46.0,-0.46
-18.0,-0.18
-64.0,-0.64
30.0,0.3
6.0,0.06
172.0,1.72
30.0,0.3
-124.0,-1.24
-90.0,-0.9
-54.0,-0.54
-8.0,-0.08
-158.0,-1.58
-44.0,-0.44
-62.0,-0.62
-4.0,-0.04
-86.0,-0.86
98.0,0.98
-62.0,-0.62
134.0,1.34
-188.0,-1.88
94.0,0.94
8.0,0.08
70.0,0.7
-8.0,-0.08
-52.0,-0.52
-34.0,-0.34
8.0,0.08
106.0,1.06
-138.0,-1.38
98.0,0.98
162.0,1.62
98.0,0.98
-86.0,-0.86
-74.0,-0.74
-128.0,-1.28
-158.0,-1.58
80.0,0.8
-4.0,-0.04
-110.0,-1.1
-78.0,-0.78
62.0,0.62
24.0,0.24
48.0,0.48
68.0,0.68
106.0,1.06
-78.0,-0.78
32.0,0.32
174.0,1.74
66.0,0.66
10.0,0.1
-76.0,-0.76
-42.0,-0.42
80.0,0.8
-214.0,-2.14
-48.0,-0.48
-170.0,-1.7
20.0,0.2
52.0,0.52
-14.0,-0.14
-16.0,-0.16
-178.0,-1.78
-56.0,-0.56
-28.0,-0.28
-48.0,-0.48
-30.0,-0.3
-118.0,-1.18
-132.0,-1.32
-76.0,-0.76
26.0,0.26
58.0,0.58
-38.0,-0.38
32.0,0.32
-32.0,-0.32
56.0,0.56
-6.0,-0.06
42.0,0.42
-146.0,-1.46
6.0,0.06
-88.0,-0.88
-102.0,-1.02
-94.0,-0.94
62.0,0.62
64.0,0.64
40.0,0.4
-54.0,-0.54
104.0,1.04
-108.0,-1.08
-38.0,-0.38
120.0,1.2
40.0,0.4
26.0,0.26
-96.0,-0.96
-2.0,-0.02
38.0,0.38
-100.0,-1.0
52.0,0.52
-2.0,-0.02
26.0,0.26
56.0,0.56
-218.0,-2.18
46.0,0.46
-14.0,-0.14
38.0,0.38
58.0,0.58
164.0,1.64
24.0,0.24
124.0,1.24
-30.0,-0.3
120.0,1.2
48.0,0.48
16.0,0.16
38.0,0.38
178.0,1.78
-114.0,-1.14
62.0,0.62
36.0,0.36
40.0,0.4
30.0,0.3
48.0,0.48
32.0,0.32
72.0,0.72
-224.0,-2.24
88.0,0.88
-20.0,-0.2
-226.0,-2.26
18.0,0.18
70.0,0.7
126.0,1.26
14.0,0.14
-22.0,-0.22
46.0,0.46
-176.0,-1.76
130.0,1.3
32.0,0.32
-96.0,-0.96
64.0,0.64
-114.0,-1.14
-6.0,-0.06
-26.0,-0.26
-128.0,-1.28
-46.0,-0.46
-142.0,-1.42
138.0,1.38
-82.0,-0.82
130.0,1.3
292.0,2.92
76.0,0.76
-94.0,-0.94
32.0,0.32
-100.0,-1.0
128.0,1.28
90.0,0.9
144.0,1.44
226.0,2.26
40.0,0.4
-108.0,-1.08
24.0,0.24
258.0,2.58
2.0,0.02
-22.0,-0.22
-20.0,-0.2
166.0,1.66
-98.0,-0.98
-80.0,-0.8
182.0,1.82
58.0,0.58
74.0,0.74
56.0,0.56
-6.0,-0.06
-14.0,-0.14
-128.0,-1.28
148.0,1.48
38.0,0.38
66.0,0.66
-14.0,-0.14
28.0,0.28
76.0,0.76
-20.0,-0.2
-10.0,-0.1
132.0,1.32
-184.0,-1.84
-132.0,-1.32
102.0,1.02
-14.0,-0.14
-28.0,-0.28
6.0,0.06
-80.0,-0.8
110.0,1.1
-58.0,-0.58
-148.0,-1.48
-164.0,-1.64
54.0,0.54
74.0,0.74
40.0,0.4
166.0,1.66
48.0,0.48
-92.0,-0.92
44.0,0.44
246.0,2.46
-12.0,-0.12
-180.0,-1.8
-90.0,-0.9
-104.0,-1.04
108.0,1.08
154.0,1.54
-42.0,-0.42
-150.0,-1.5
2.0,0.02
210.0,2.1
46.0,0.46
100.0,1.0
-80.0,-0.8
64.0,0.64
50.0,0.5
-50.0,-0.5
-10.0,-0.1
-76.0,-0.76
-58.0,-0.58
-38.0,-0.38
100.0,1.0
66.0,0.66
-54.0,-0.54
24.0,0.24
-28.0,-0.28
-154.0,-1.54
50.0,0.5
28.0,0.28
14.0,0.14
-128.0,-1.28
70.0,0.7
-80.0,-0.8
-74.0,-0.74
-48.0,-0.48
24.0,0.24
-46.0,-0.46
-36.0,-0.36
28.0,0.28
-130.0,-1.3
242.0,2.42
74.0,0.74
136.0,1.36
-168.0,-1.68
-26.0,-0.26
102.0,1.02
20.0,0.2
4.0,0.04
-184.0,-1.84
-60.0,-0.6
-10.0,-0.1
184.0,1.84
178.0,1.78
74.0,0.74
104.0,1.04
-78.0,-0.78
-120.0,-1.2
-70.0,-0.7
-108.0,-1.08
-18.0,-0.18
40.0,0.4
-210.0,-2.1
-44.0,-0.44
-90.0,-0.9
-118.0,-1.18
100.0,1.0
136.0,1.36
248.0,2.48
-66.0,-0.66
10.0,0.1
-38.0,-0.38
4.0,0.04
-148.0,-1.48
-6.0,-0.06
88.0,0.88
-122.0,-1.22
0.0,0.0
-20.0,-0.2
24.0,0.24
4.0,0.04
36.0,0.36
142.0,1.42
-52.0,-0.52
98.0,0.98
186.0,1.86
70.0,0.7
90.0,0.9
130.0,1.3
2.0,0.02
4.0,0.04
-78.0,-0.78
-130.0,-1.3
-128.0,-1.28
-88.0,-0.88
-14.0,-0.14
122.0,1.22
94.0,0.94
52.0,0.52
238.0,2.38
-110.0,-1.1
-44.0,-0.44
-58.0,-0.58
-62.0,-0.62
22.0,0.22
50.0,0.5
10.0,0.1
6.0,0.06
10.0,0.1
50.0,0.5
-90.0,-0.9
-196.0,-1.96
-136.0,-1.36
-124.0,-1.24
-34.0,-0.34
-16.0,-0.16
-134.0,-1.34
54.0,0.54
138.0,1.38
-54.0,-0.54
62.0,0.62
166.0,1.66
-90.0,-0.9
178.0,1.78
34.0,0.34
-46.0,-0.46
64.0,0.64
96.0,0.96
-164.0,-1.64
-134.0,-1.34
-34.0,-0.34
-128.0,-1.28
120.0,1.2
12.0,0.12
52.0,0.52
76.0,0.76
36.0,0.36
26.0,0.26
132.0,1.32
-84.0,-0.84
6.0,0.06
52.0,0.52
-190.0,-1.9
-120.0,-1.2
-26.0,-0.26
-136.0,-1.36
24.0,0.24
108.0,1.08
96.0,0.96
18.0,0.18
-88.0,-0.88
34.0,0.34
-76.0,-0.76
28.0,0.28
46.0,0.46
-92.0,-0.92
-90.0,-0.9
-6.0,-0.06
40.0,0.4
-10.0,-0.1
-24.0,-0.24
-2.0,-0.02
-100.0,-1.0
120.0,1.2
254.0,2.54
104.0,1.04
-26.0,-0.26
232.0,2.32
-10.0,-0.1
226.0,2.26
-48.0,-0.48
-86.0,-0.86
-92.0,-0.92
-76.0,-0.76
-10.0,-0.1
-42.0,-0.42
-68.0,-0.68
60.0,0.6
78.0,0.78
-102.0,-1.02
146.0,1.46
-12.0,-0.12
54.0,0.54
94.0,0.94
20.0,0.2
234.0,2.34
86.0,0.86
-72.0,-0.72
-32.0,-0.32
-78.0,-0.78
-100.0,-1.0
-54.0,-0.54
140.0,1.4
-84.0,-0.84
70.0,0.7
74.0,0.74
216.0,2.16
-74.0,-0.74
300.0,3.0
128.0,1.28
26.0,0.26
148.0,1.48
44.0,0.44
-136.0,-1.36
164.0,1.64
4.0,0.04
46.0,0.46
-102.0,-1.02
-24.0,-0.24
2.0,0.02
-6.0,-0.06
10.0,0.1
104.0,1.04
-72.0,-0.72
-170.0,-1.7
-4.0,-0.04
24.0,0.24
-234.0,-2.34
-82.0,-0.82
116.0,1.16
-136.0,-1.36
-48.0,-0.48
50.0,0.5
-12.0,-0.12
-132.0,-1.32
-154.0,-1.54
-28.0,-0.28
-212.0,-2.12
152.0,1.52
-114.0,-1.14
-56.0,-0.56
-182.0,-1.82
-162.0,-1.62
-108.0,-1.08
144.0,1.44
-202.0,-2.02
34.0,0.34
28.0,0.28
204.0,2.04
-162.0,-1.62
190.0,1.9
-268.0,-2.68
-208.0,-2.08
-16.0,-0.16
134.0,1.34
-6.0,-0.06
0.0,0.0
36.0,0.36
-52.0,-0.52
-16.0,-0.16
-90.0,-0.9
-122.0,-1.22
-178.0,-1.78
78.0,0.78
26.0,0.26
200.0,2.0
-140.0,-1.4
-56.0,-0.56
-140.0,-1.4
-174.0,-1.74
-18.0,-0.18
12.0,0.12
-134.0,-1.34
-184.0,-1.84
-158.0,-1.58
-46.0,-0.46
-106.0,-1.06
-22.0,-0.22
-176.0,-1.76
36.0,0.36
-8.0,-0.08
90.0,0.9
58.0,0.58
116.0,1.16
236.0,2.36
4.0,0.04
78.0,0.78
146.0,1.46
-112.0,-1.12
98.0,0.98
218.0,2.18
-136.0,-1.36
-26.0,-0.26
-50.0,-0.5
-116.0,-1.16
40.0,0.4
204.0,2.04
-18.0,-0.18
-26.0,-0.26
-156.0,-1.56
196.0,1.96
194.0,1.94
30.0,0.3
82.0,0.82
122.0,1.22
-52.0,-0.52
-52.0,-0.52
-148.0,-1.48
-34.0,-0.34
-12.0,-0.12
-66.0,-0.66
-10.0,-0.1
24.0,0.24
-52.0,-0.52
-58.0,-0.58
-10.0,-0.1
70.0,0.7
-32.0,-0.32
88.0,0.88
-122.0,-1.22
44.0,0.44
130.0,1.3
110.0,1.1
-76.0,-0.76
-86.0,-0.86
48.0,0.48
-40.0,-0.4
20.0,0.2
-40.0,-0.4
50.0,0.5
-84.0,-0.84
70.0,0.7
-106.0,-1.06
110.0,1.1
166.0,1.66
88.0,0.88
12.0,0.12
-170.0,-1.7
8.0,0.08
-162.0,-1.62
-52.0,-0.52
-142.0,-1.42
138.0,1.38
-38.0,-0.38
-162.0,-1.62
-158.0,-1.58
112.0,1.12
-66.0,-0.66
-150.0,-1.5
-8.0,-0.08
132.0,1.32
-232.0,-2.32
-2.0,-0.02
-8.0,-0.08
78.0,0.78
20.0,0.2
-80.0,-0.8
92.0,0.92
38.0,0.38
-26.0,-0.26
-188.0,-1.88
-136.0,-1.36
-60.0,-0.6
-46.0,-0.46
-44.0,-0.44
116.0,1.16
34.0,0.34
-48.0,-0.48
96.0,0.96
218.0,2.18
80.0,0.8
-66.0,-0.66
-2.0,-0.02
-42.0,-0.42
-52.0,-0.52
-100.0,-1.0
-24.0,-0.24
10.0,0.1
-206.0,-2.06
212.0,2.12
102.0,1.02
50.0,0.5
46.0,0.46
176.0,1.76
-106.0,-1.06
110.0,1.1
48.0,0.48
114.0,1.14
-50.0,-0.5
56.0,0.56
62.0,0.62
-158.0,-1.58
-230.0,-2.3
-74.0,-0.74
-10.0,-0.1
-56.0,-0.56
32.0,0.32
-178.0,-1.78
-122.0,-1.22
26.0,0.26
-16.0,-0.16
56.0,0.56
16.0,0.16
10.0,0.1
74.0,0.74
214.0,2.14
-4.0,-0.04
-208.0,-2.08
-60.0,-0.6
188.0,1.88
26.0,0.26
-8.0,-0.08
-138.0,-1.38
-12.0,-0.12
0.0,0.0
16.0,0.16
200.0,2.0
-132.0,-1.32
48.0,0.48
-124.0,-1.24
88.0,0.88
-126.0,-1.26
14.0,0.14
190.0,1.9
136.0,1.36
26.0,0.26
-48.0,-0.48
46.0,0.46
-174.0,-1.74
-186.0,-1.86
28.0,0.28
24.0,0.24
30.0,0.3
28.0,0.28
-188.0,-1.88
14.0,0.14
-234.0,-2.34
178.0,1.78
-22.0,-0.22
6.0,0.06
-4.0,-0.04
92.0,0.92
-16.0,-0.16
-26.0,-0.26
130.0,1.3
32.0,0.32
-68.0,-0.68
56.0,0.56
14.0,0.14
60.0,0.6
-38.0,-0.38
94.0,0.94
4.0,0.04
32.0,0.32
-52.0,-0.52
-74.0,-0.74
90.0,0.9
158.0,1.58
4.0,0.04
130.0,1.3
66.0,0.66
30.0,0.3
156.0,1.56
138.0,1.38
10.0,0.1
-124.0,-1.24
-136.0,-1.36
20.0,0.2
164.0,1.64
-22.0,-0.22
118.0,1.18
30.0,0.3
70.0,0.7
-60.0,-0.6
98.0,0.98
-66.0,-0.66
8.0,0.08
-74.0,-0.74
-98.0,-0.98
72.0,0.72
120.0,1.2
-32.0,-0.32
34.0,0.34
-114.0,-1.14
-20.0,-0.2
210.0,2.1
40.0,0.4
-102.0,-1.02
-52.0,-0.52
66.0,0.66
-20.0,-0.2
-60.0,-0.6
214.0,2.14
-78.0,-0.78
32.0,0.32
-26.0,-0.26
-32.0,-0.32
84.0,0.84
14.0,0.14
-138.0,-1.38
-130.0,-1.3
-46.0,-0.46
-26.0,-0.26
24.0,0.24
76.0,0.76
-186.0,-1.86
112.0,1.12
26.0,0.26
46.0,0.46
-48.0,-0.48
-42.0,-0.42
-106.0,-1.06
214.0,2.14
-98.0,-0.98
36.0,0.36
-108.0,-1.08
0.0,0.0
-24.0,-0.24
64.0,0.64
-80.0,-0.8
-2.0,-0.02
82.0,0.82
88.0,0.88
-4.0,-0.04
100.0,1.0
-16.0,-0.16
-238.0,-2.38
148.0,1.48
-148.0,-1.48
-62.0,-0.62
22.0,0.22
88.0,0.88
40.0,0.4
-78.0,-0.78
6.0,0.06
-146.0,-1.46
-110.0,-1.1
-56.0,-0.56
44.0,0.44
208.0,2.08
-70.0,-0.7
78.0,0.78
-28.0,-0.28
-114.0,-1.14
162.0,1.62
4.0,0.04
-66.0,-0.66
38.0,0.38
210.0,2.1
72.0,0.72
74.0,0.74
8.0,0.08
-200.0,-2.0
148.0,1.48
110.0,1.1
-8.0,-0.08
-146.0,-1.46
-48.0,-0.48
64.0,0.64
-42.0,-0.42
-6.0,-0.06
-54.0,-0.54
154.0,1.54
-50.0,-0.5
-48.0,-0.48
-60.0,-0.6
0.0,0.0
40.0,0.4
84.0,0.84
144.0,1.44
-56.0,-0.56
-22.0,-0.22
-80.0,-0.8
-116.0,-1.16
-44.0,-0.44
78.0,0.78
-62.0,-0.62
168.0,1.68
64.0,0.64
98.0,0.98
174.0,1.74
42.0,0.42
82.0,0.82
-84.0,-0.84
-82.0,-0.82
94.0,0.94
112.0,1.12
222.0,2.22
132.0,1.32
-140.0,-1.4
-50.0,-0.5
44.0,0.44
-18.0,-0.18
-66.0,-0.66
-240.0,-2.4
-36.0,-0.36
214.0,2.14
-162.0,-1.62
170.0,1.7
62.0,0.62
28.0,0.28
-42.0,-0.42
-102.0,-1.02
-64.0,-0.64
-74.0,-0.74
-206.0,-2.06
40.0,0.4
-38.0,-0.38
-34.0,-0.34
-56.0,-0.56
-22.0,-0.22
-224.0,-2.24
12.0,0.12
-74.0,-0.74
192.0,1.92
-206.0,-2.06
-14.0,-0.14
80.0,0.8
70.0,0.7
-110.0,-1.1
12.0,0.12
102.0,1.02
28.0,0.28
-70.0,-0.7
-54.0,-0.54
-42.0,-0.42
-80.0,-0.8
-114.0,-1.14
-18.0,-0.18
-64.0,-0.64
126.0,1.26
-84.0,-0.84
-110.0,-1.1
-32.0,-0.32
-158.0,-1.58
-44.0,-0.44
68.0,0.68
28.0,0.28
-202.0,-2.02
-42.0,-0.42
146.0,1.46
4.0,0.04
4.0,0.04
46.0,0.46
-2.0,-0.02
72.0,0.72
182.0,1.82
-44.0,-0.44
52.0,0.52
98.0,0.98
-68.0,-0.68
10.0,0.1
40.0,0.4
-150.0,-1.5
46.0,0.46
-44.0,-0.44
64.0,0.64
102.0,1.02
-74.0,-0.74
118.0,1.18
76.0,0.76
-98.0,-0.98
144.0,1.44
60.0,0.6
-2.0,-0.02
-114.0,-1.14
-90.0,-0.9
96.0,0.96
-254.0,-2.54
56.0,0.56
-98.0,-0.98
150.0,1.5
100.0,1.0
48.0,0.48
-48.0,-0.48
146.0,1.46
50.0,0.5
206.0,2.06
-54.0,-0.54
126.0,1.26
-42.0,-0.42
18.0,0.18
-140.0,-1.4
28.0,0.28
-60.0,-0.6
84.0,0.84
