tempo,caminhada_1,caminhada_2,caminhada_3,caminhada_4,caminhada_5,caminhada_6,caminhada_7,caminhada_8,caminhada_9,caminhada_10
21,3.0,-3.0,-1.0,9.0,-3.0,-1.0,7.0,3.0,3.0,-3.0
22,4.0,-2.0,-2.0,8.0,-2.0,0.0,8.0,2.0,2.0,-2.0
23,3.0,-3.0,-3.0,7.0,-3.0,1.0,9.0,3.0,3.0,-1.0
24,4.0,-2.0,-4.0,6.0,-2.0,2.0,8.0,2.0,4.0,0.0
25,3.0,-3.0,-5.0,5.0,-3.0,1.0,7.0,3.0,5.0,1.0
26,2.0,-4.0,-6.0,4.0,-4.0,0.0,6.0,4.0,6.0,2.0
27,3.0,-5.0,-7.0,5.0,-5.0,-1.0,7.0,5.0,5.0,3.0
28,2.0,-4.0,-8.0,4.0,-4.0,-2.0,8.0,6.0,4.0,4.0
29,1.0,-3.0,-9.0,5.0,-5.0,-1.0,7.0,7.0,3.0,5.0
30,2.0,-2.0,-10.0,4.0,-6.0,0.0,8.0,6.0,2.0,4.0
31,1.0,-3.0,-11.0,3.0,-7.0,1.0,9.0,7.0,3.0,5.0
32,2.0,-4.0,-10.0,4.0,-8.0,2.0,10.0,6.0,4.0,6.0
33,1.0,-5.0,-11.0,3.0,-9.0,1.0,9.0,5.0,3.0,5.0
34,0.0,-6.0,-12.0,2.0,-10.0,0.0,8.0,4.0,2.0,6.0
35,-1.0,-7.0,-13.0,1.0,-11.0,-1.0,7.0,5.0,3.0,7.0
36,0.0,-6.0,-12.0,2.0,-10.0,0.0,8.0,6.0,4.0,6.0
37,-1.0,-7.0,-13.0,1.0,-11.0,-1.0,9.0,7.0,5.0,7.0
38,-2.0,-8.0,-14.0,0.0,-10.0,0.0,10.0,8.0,4.0,6.0
39,-1.0,-9.0,-13.0,1.0,-11.0,1.0,11.0,7.0,5.0,5.0
40,0.0,-8.0,-12.0,2.0,-12.0,0.0,10.0,6.0,4.0,6.0
41,-1.0,-7.0,-11.0,1.0,-11.0,1.0,9.0,5.0,5.0,5.0
42,-2.0,-6.0,-12.0,2.0,-12.0,2.0,10.0,4.0,6.0,4.0
43,-1.0,-5.0,-13.0,1.0,-11.0,3.0,9.0,3.0,7.0,5.0
44,0.0,-4.0,-14.0,0.0,-12.0,4.0,10.0,4.0,6.0,4.0
45,-1.0,-5.0,-15.0,-1.0,-13.0,3.0,9.0,3.0,5.0,3.0
46,0.0,-6.0,-16.0,0.0,-14.0,2.0,10.0,4.0,4.0,4.0
47,-1.0,-5.0,-17.0,1.0,-15.0,3.0,9.0,5.0,3.0,5.0
48,-2.0,-4.0,-16.0,0.0,-16.0,4.0,8.0,4.0,4.0,6.0
49,-3.0,-3.0,-17.0,1.0,-15.0,3.0,9.0,3.0,5.0,7.0
50,-2.0,-4.0,-16.0,0.0,-14.0,2.0,10.0,2.0,6.0,6.0
51,-1.0,-5.0,-15.0,-1.0,-15.0,3.0,9.0,3.0,7.0,5.0
52,-2.0,-4.0,-16.0,0.0,-16.0,2.0,10.0,2.0,8.0,4.0
53,-1.0,-5.0,-17.0,1.0,-17.0,1.0,11.0,1.0,7.0,5.0
54,-2.0,-4.0,-16.0,0.0,-18.0,2.0,12.0,0.0,6.0,6.0
55,-1.0,-3.0,-15.0,-1.0,-19.0,1.0,11.0,1.0,7.0,7.0
56,-2.0,-2.0,-16.0,0.0,-20.0,2.0,10.0,2.0,6.0,8.0
57,-1.0,-1.0,-15.0,1.0,-19.0,3.0,11.0,3.0,5.0,7.0
58,-2.0,0.0,-16.0,2.0,-20.0,4.0,10.0,2.0,6.0,6.0
59,-1.0,1.0,-17.0,1.0,-21.0,5.0,11.0,3.0,5.0,5.0
60,-2.0,2.0,-18.0,0.0,-20.0,4.0,10.0,4.0,4.0,4.0
61,-3.0,1.0,-19.0,-1.0,-21.0,3.0,9.0,3.0,5.0,5.0
62,-2.0,0.0,-18.0,0.0,-22.0,4.0,10.0,2.0,6.0,6.0
63,-3.0,1.0,-19.0,1.0,-21.0,3.0,11.0,1.0,5.0,7.0
64,-2.0,0.0,-18.0,0.0,-20.0,2.0,12.0,0.0,6.0,6.0
65,-1.0,1.0,-17.0,1.0,-19.0,1.0,11.0,-1.0,5.0,5.0
66,0.0,2.0,-16.0,0.0,-20.0,0.0,10.0,0.0,6.0,6.0
67,-1.0,3.0,-17.0,1.0,-21.0,1.0,9.0,1.0,5.0,5.0
68,0.0,4.0,-16.0,2.0,-20.0,0.0,8.0,0.0,4.0,4.0
69,1.0,5.0,-15.0,1.0,-21.0,-1.0,9.0,1.0,5.0,5.0
70,2.0,4.0,-14.0,0.0,-20.0,-2.0,10.0,2.0,4.0,6.0
71,3.0,5.0,-15.0,-1.0,-19.0,-1.0,9.0,1.0,5.0,7.0
72,4.0,6.0,-16.0,-2.0,-18.0,0.0,8.0,0.0,6.0,8.0
73,3.0,7.0,-17.0,-1.0,-19.0,1.0,9.0,-1.0,7.0,7.0
74,4.0,8.0,-16.0,0.0,-18.0,2.0,8.0,-2.0,6.0,6.0
75,3.0,9.0,-15.0,-1.0,-19.0,3.0,9.0,-3.0,5.0,7.0
76,2.0,10.0,-16.0,0.0,-20.0,2.0,10.0,-4.0,6.0,6.0
77,3.0,9.0,-15.0,-1.0,-21.0,3.0,9.0,-3.0,5.0,5.0
78,4.0,8.0,-16.0,0.0,-20.0,2.0,10.0,-2.0,4.0,4.0
79,3.0,7.0,-17.0,-1.0,-19.0,3.0,11.0,-1.0,5.0,3.0
80,4.0,8.0,-18.0,-2.0,-20.0,4.0,12.0,0.0,4.0,2.0
81,5.0,7.0,-17.0,-3.0,-19.0,5.0,11.0,1.0,3.0,3.0
82,4.0,8.0,-18.0,-4.0,-18.0,4.0,12.0,2.0,2.0,4.0
83,3.0,7.0,-19.0,-5.0,-17.0,5.0,13.0,3.0,1.0,3.0
84,2.0,6.0,-20.0,-6.0,-18.0,4.0,12.0,2.0,0.0,2.0
85,1.0,7.0,-21.0,-5.0,-19.0,5.0,11.0,3.0,-1.0,3.0
86,0.0,8.0,-20.0,-6.0,-20.0,6.0,10.0,2.0,0.0,4.0
87,-1.0,9.0,-19.0,-7.0,-19.0,7.0,9.0,1.0,1.0,3.0
88,0.0,10.0,-20.0,-8.0,-18.0,8.0,10.0,0.0,0.0,4.0
89,1.0,9.0,-21.0,-7.0,-19.0,7.0,11.0,1.0,-1.0,5.0
90,2.0,8.0,-20.0,-8.0,-18.0,6.0,10.0,2.0,-2.0,6.0
91,1.0,7.0,-19.0,-7.0,-19.0,5.0,9.0,3.0,-1.0,5.0
92,0.0,8.0,-20.0,-6.0,-20.0,6.0,8.0,4.0,-2.0,6.0
93,1.0,7.0,-21.0,-5.0,-19.0,5.0,7.0,5.0,-3.0,5.0
94,2.0,6.0,-20.0,-4.0,-20.0,6.0,6.0,4.0,-2.0,4.0
95,3.0,5.0,-21.0,-3.0,-19.0,5.0,7.0,5.0,-3.0,3.0
96,2.0,6.0,-22.0,-4.0,-18.0,4.0,8.0,6.0,-4.0,4.0
97,3.0,7.0,-21.0,-5.0,-19.0,3.0,7.0,7.0,-3.0,5.0
98,4.0,6.0,-20.0,-6.0,-18.0,2.0,8.0,6.0,-2.0,6.0
99,3.0,7.0,-19.0,-7.0,-19.0,3.0,9.0,5.0,-1.0,7.0
100,4.0,8.0,-18.0,-6.0,-18.0,4.0,10.0,6.0,0.0,8.0
101,5.0,9.0,-17.0,-5.0,-17.0,5.0,11.0,7.0,1.0,9.0
102,6.0,8.0,-16.0,-6.0,-16.0,4.0,12.0,6.0,0.0,10.0
103,5.0,9.0,-17.0,-7.0,-15.0,3.0,13.0,7.0,-1.0,11.0
104,6.0,8.0,-16.0,-8.0,-14.0,2.0,14.0,6.0,0.0,10.0
105,5.0,9.0,-15.0,-9.0,-13.0,3.0,13.0,7.0,1.0,9.0
106,6.0,10.0,-14.0,-8.0,-12.0,4.0,12.0,6.0,0.0,8.0
107,5.0,11.0,-13.0,-9.0,-11.0,5.0,11.0,5.0,1.0,7.0
108,6.0,12.0,-12.0,-8.0,-10.0,6.0,12.0,6.0,2.0,8.0
109,5.0,11.0,-11.0,-7.0,-11.0,5.0,13.0,7.0,3.0,7.0
110,4.0,12.0,-10.0,-8.0,-12.0,6.0,14.0,6.0,2.0,8.0
111,3.0,11.0,-11.0,-9.0,-13.0,5.0,13.0,7.0,3.0,9.0
112,2.0,12.0,-10.0,-10.0,-12.0,6.0,12.0,8.0,4.0,8.0
113,3.0,11.0,-9.0,-9.0,-13.0,7.0,13.0,7.0,5.0,9.0
114,4.0,12.0,-8.0,-10.0,-14.0,6.0,14.0,8.0,6.0,8.0
115,3.0,11.0,-7.0,-9.0,-15.0,5.0,15.0,9.0,5.0,7.0
116,2.0,10.0,-8.0,-10.0,-16.0,4.0,14.0,8.0,4.0,6.0
117,3.0,9.0,-9.0,-9.0,-17.0,3.0,15.0,7.0,3.0,7.0
118,4.0,8.0,-8.0,-10.0,-16.0,2.0,14.0,8.0,2.0,8.0
119,5.0,9.0,-7.0,-9.0,-15.0,1.0,13.0,7.0,1.0,7.0
120,6.0,10.0,-6.0,-8.0,-16.0,0.0,12.0,6.0,2.0,8.0
121,7.0,9.0,-7.0,-7.0,-15.0,-1.0,11.0,7.0,3.0,7.0
122,6.0,8.0,-6.0,-6.0,-16.0,-2.0,10.0,8.0,4.0,6.0
123,7.0,9.0,-5.0,-5.0,-15.0,-1.0,11.0,9.0,5.0,7.0
124,8.0,8.0,-4.0,-6.0,-14.0,-2.0,12.0,8.0,6.0,6.0
125,7.0,7.0,-3.0,-5.0,-15.0,-3.0,11.0,9.0,7.0,5.0
126,6.0,8.0,-2.0,-6.0,-16.0,-2.0,12.0,8.0,6.0,6.0
127,7.0,7.0,-1.0,-5.0,-17.0,-1.0,13.0,7.0,7.0,7.0
128,6.0,8.0,0.0,-6.0,-16.0,0.0,12.0,6.0,8.0,6.0
129,7.0,9.0,1.0,-7.0,-17.0,-1.0,13.0,7.0,9.0,5.0
130,8.0,10.0,2.0,-6.0,-16.0,0.0,14.0,8.0,10.0,6.0
131,7.0,9.0,1.0,-7.0,-15.0,1.0,15.0,9.0,11.0,5.0
132,6.0,10.0,0.0,-8.0,-14.0,0.0,14.0,10.0,10.0,4.0
133,5.0,9.0,-1.0,-9.0,-13.0,1.0,15.0,11.0,9.0,3.0
134,6.0,10.0,-2.0,-10.0,-12.0,2.0,14.0,10.0,8.0,4.0
135,5.0,9.0,-3.0,-11.0,-11.0,3.0,15.0,11.0,7.0,3.0
136,6.0,8.0,-2.0,-12.0,-10.0,2.0,16.0,10.0,8.0,2.0
137,7.0,7.0,-3.0,-11.0,-11.0,1.0,17.0,11.0,7.0,3.0
138,8.0,6.0,-4.0,-10.0,-10.0,0.0,18.0,12.0,6.0,2.0
139,7.0,5.0,-3.0,-9.0,-9.0,-1.0,17.0,11.0,7.0,3.0
140,6.0,6.0,-4.0,-10.0,-8.0,-2.0,18.0,12.0,6.0,4.0
141,5.0,5.0,-5.0,-11.0,-7.0,-1.0,19.0,13.0,7.0,3.0
142,4.0,6.0,-6.0,-10.0,-8.0,0.0,18.0,14.0,6.0,4.0
143,3.0,7.0,-7.0,-9.0,-7.0,-1.0,19.0,13.0,5.0,5.0
144,2.0,6.0,-8.0,-10.0,-8.0,-2.0,18.0,14.0,6.0,6.0
145,1.0,5.0,-9.0,-11.0,-9.0,-1.0,19.0,15.0,7.0,7.0
146,2.0,6.0,-10.0,-12.0,-8.0,0.0,18.0,14.0,8.0,8.0
147,1.0,5.0,-9.0,-11.0,-9.0,-1.0,19.0,15.0,7.0,7.0
148,0.0,6.0,-8.0,-12.0,-8.0,0.0,18.0,16.0,8.0,6.0
149,-1.0,7.0,-9.0,-11.0,-9.0,1.0,17.0,17.0,7.0,7.0
150,-2.0,8.0,-8.0,-12.0,-10.0,2.0,16.0,16.0,8.0,8.0
151,-1.0,7.0,-7.0,-13.0,-9.0,1.0,17.0,15.0,9.0,7.0
152,-2.0,8.0,-6.0,-14.0,-10.0,2.0,18.0,14.0,10.0,8.0
153,-3.0,7.0,-7.0,-13.0,-9.0,3.0,17.0,13.0,9.0,7.0
154,-2.0,8.0,-6.0,-12.0,-8.0,4.0,18.0,14.0,10.0,8.0
155,-1.0,9.0,-5.0,-13.0,-9.0,3.0,17.0,15.0,11.0,9.0
156,0.0,8.0,-6.0,-12.0,-10.0,2.0,18.0,14.0,10.0,10.0
157,1.0,7.0,-7.0,-11.0,-9.0,1.0,17.0,15.0,11.0,9.0
158,0.0,8.0,-6.0,-12.0,-10.0,2.0,18.0,14.0,10.0,10.0
159,1.0,9.0,-5.0,-11.0,-9.0,3.0,17.0,13.0,9.0,9.0
160,0.0,8.0,-6.0,-12.0,-10.0,2.0,16.0,14.0,10.0,10.0
161,-1.0,9.0,-7.0,-11.0,-9.0,1.0,17.0,13.0,11.0,11.0
162,-2.0,10.0,-8.0,-10.0,-10.0,2.0,16.0,14.0,10.0,10.0
163,-1.0,11.0,-7.0,-9.0,-9.0,1.0,15.0,13.0,9.0,9.0
164,0.0,12.0,-6.0,-10.0,-10.0,0.0,14.0,14.0,10.0,10.0
165,1.0,11.0,-7.0,-9.0,-9.0,-1.0,15.0,15.0,9.0,9.0
166,2.0,12.0,-6.0,-10.0,-10.0,-2.0,16.0,16.0,10.0,8.0
167,3.0,13.0,-5.0,-9.0,-11.0,-3.0,15.0,15.0,9.0,9.0
168,4.0,14.0,-6.0,-10.0,-10.0,-2.0,14.0,14.0,10.0,10.0
169,3.0,15.0,-5.0,-11.0,-11.0,-1.0,15.0,13.0,9.0,11.0
170,4.0,14.0,-6.0,-10.0,-12.0,-2.0,16.0,12.0,8.0,12.0
171,3.0,15.0,-7.0,-9.0,-13.0,-1.0,15.0,13.0,7.0,13.0
172,4.0,14.0,-8.0,-8.0,-14.0,-2.0,16.0,12.0,6.0,14.0
173,3.0,13.0,-9.0,-9.0,-13.0,-1.0,17.0,13.0,5.0,13.0
174,4.0,12.0,-8.0,-8.0,-14.0,0.0,18.0,12.0,6.0,14.0
175,5.0,11.0,-9.0,-7.0,-13.0,-1.0,17.0,13.0,5.0,13.0
176,6.0,12.0,-8.0,-6.0,-14.0,-2.0,16.0,12.0,4.0,14.0
177,5.0,11.0,-9.0,-7.0,-15.0,-3.0,15.0,11.0,3.0,13.0
178,4.0,10.0,-10.0,-8.0,-16.0,-4.0,16.0,12.0,4.0,14.0
179,5.0,11.0,-9.0,-7.0,-15.0,-3.0,17.0,13.0,5.0,15.0
180,4.0,10.0,-8.0,-6.0,-16.0,-4.0,18.0,14.0,4.0,14.0
181,3.0,9.0,-9.0,-7.0,-15.0,-3.0,19.0,15.0,3.0,13.0
182,2.0,10.0,-10.0,-8.0,-14.0,-4.0,18.0,16.0,2.0,14.0
183,3.0,9.0,-9.0,-9.0,-13.0,-5.0,17.0,17.0,1.0,15.0
184,2.0,10.0,-10.0,-8.0,-14.0,-4.0,16.0,18.0,0.0,16.0
185,1.0,11.0,-11.0,-7.0,-15.0,-3.0,15.0,17.0,1.0,15.0
186,2.0,12.0,-12.0,-8.0,-14.0,-2.0,14.0,16.0,2.0,16.0
187,1.0,13.0,-13.0,-7.0,-15.0,-1.0,13.0,15.0,3.0,15.0
188,0.0,14.0,-14.0,-8.0,-14.0,-2.0,14.0,16.0,2.0,16.0
189,-1.0,13.0,-13.0,-7.0,-13.0,-3.0,13.0,17.0,3.0,17.0
190,0.0,12.0,-14.0,-6.0,-14.0,-4.0,14.0,16.0,2.0,18.0
191,-1.0,13.0,-13.0,-7.0,-15.0,-3.0,15.0,15.0,1.0,19.0
192,0.0,14.0,-12.0,-6.0,-14.0,-2.0,16.0,16.0,2.0,20.0
193,-1.0,13.0,-13.0,-5.0,-13.0,-1.0,17.0,15.0,1.0,19.0
194,-2.0,12.0,-12.0,-4.0,-14.0,-2.0,16.0,16.0,2.0,18.0
195,-3.0,11.0,-13.0,-5.0,-13.0,-1.0,17.0,17.0,1.0,17.0
196,-2.0,10.0,-12.0,-6.0,-12.0,0.0,16.0,18.0,0.0,18.0
197,-3.0,11.0,-13.0,-7.0,-11.0,-1.0,17.0,19.0,-1.0,19.0
198,-2.0,12.0,-12.0,-8.0,-12.0,-2.0,18.0,20.0,0.0,18.0
199,-3.0,13.0,-13.0,-7.0,-13.0,-1.0,17.0,21.0,-1.0,19.0
200,-4.0,12.0,-14.0,-8.0,-12.0,0.0,18.0,22.0,0.0,18.0
201,-3.0,11.0,-13.0,-9.0,-11.0,-1.0,19.0,21.0,1.0,17.0
202,-4.0,12.0,-12.0,-10.0,-12.0,0.0,20.0,20.0,0.0,18.0
203,-3.0,11.0,-13.0,-9.0,-13.0,-1.0,21.0,21.0,-1.0,19.0
204,-2.0,10.0,-14.0,-8.0,-12.0,-2.0,20.0,22.0,0.0,18.0
205,-3.0,9.0,-15.0,-9.0,-13.0,-3.0,21.0,23.0,1.0,19.0
206,-4.0,10.0,-16.0,-8.0,-12.0,-4.0,22.0,22.0,2.0,20.0
207,-5.0,11.0,-17.0,-7.0,-13.0,-3.0,21.0,23.0,1.0,21.0
208,-6.0,12.0,-16.0,-8.0,-12.0,-2.0,20.0,22.0,2.0,20.0
209,-7.0,11.0,-17.0,-9.0,-11.0,-1.0,21.0,23.0,3.0,19.0
210,-6.0,12.0,-18.0,-10.0,-12.0,0.0,22.0,24.0,2.0,18.0
211,-7.0,13.0,-19.0,-9.0,-13.0,1.0,21.0,23.0,3.0,17.0
212,-6.0,14.0,-20.0,-10.0,-12.0,2.0,22.0,22.0,2.0,18.0
213,-5.0,13.0,-21.0,-9.0,-11.0,1.0,21.0,23.0,3.0,17.0
214,-6.0,14.0,-20.0,-10.0,-12.0,2.0,22.0,22.0,2.0,18.0
215,-5.0,15.0,-19.0,-9.0,-11.0,3.0,23.0,23.0,1.0,17.0
216,-6.0,16.0,-20.0,-8.0,-10.0,2.0,24.0,22.0,2.0,18.0
217,-7.0,15.0,-21.0,-9.0,-9.0,3.0,25.0,23.0,3.0,17.0
218,-6.0,16.0,-22.0,-10.0,-10.0,4.0,26.0,24.0,2.0,16.0
219,-5.0,15.0,-21.0,-11.0,-9.0,3.0,27.0,23.0,3.0,15.0
220,-6.0,16.0,-20.0,-12.0,-8.0,4.0,26.0,22.0,4.0,14.0
221,-5.0,17.0,-19.0,-11.0,-7.0,5.0,27.0,23.0,5.0,13.0
222,-6.0,16.0,-20.0,-12.0,-8.0,4.0,26.0,22.0,4.0,12.0
223,-7.0,17.0,-19.0,-13.0,-9.0,5.0,27.0,21.0,5.0,13.0
224,-8.0,16.0,-18.0,-12.0,-8.0,4.0,26.0,20.0,6.0,14.0
225,-7.0,17.0,-19.0,-13.0,-9.0,5.0,27.0,19.0,5.0,13.0
226,-6.0,18.0,-18.0,-12.0,-8.0,6.0,28.0,20.0,6.0,14.0
227,-5.0,17.0,-17.0,-13.0,-7.0,5.0,29.0,19.0,7.0,13.0
228,-6.0,16.0,-18.0,-14.0,-6.0,6.0,30.0,20.0,8.0,12.0
229,-7.0,17.0,-19.0,-13.0,-7.0,7.0,29.0,21.0,7.0,13.0
230,-8.0,16.0,-20.0,-12.0,-6.0,8.0,28.0,20.0,6.0,14.0
231,-7.0,15.0,-21.0,-11.0,-7.0,7.0,29.0,19.0,5.0,15.0
232,-6.0,14.0,-22.0,-10.0,-6.0,6.0,28.0,20.0,4.0,14.0
233,-5.0,15.0,-21.0,-9.0,-5.0,7.0,29.0,21.0,5.0,15.0
234,-4.0,14.0,-20.0,-8.0,-6.0,8.0,28.0,20.0,6.0,14.0
235,-5.0,15.0,-21.0,-7.0,-7.0,9.0,27.0,21.0,5.0,15.0
236,-6.0,16.0,-20.0,-8.0,-6.0,10.0,26.0,22.0,6.0,14.0
237,-7.0,17.0,-19.0,-9.0,-7.0,11.0,27.0,21.0,5.0,15.0
238,-6.0,18.0,-18.0,-10.0,-8.0,10.0,28.0,22.0,6.0,14.0
239,-7.0,19.0,-17.0,-11.0,-9.0,11.0,29.0,21.0,7.0,15.0
240,-6.0,18.0,-16.0,-12.0,-8.0,10.0,30.0,20.0,8.0,14.0
241,-5.0,19.0,-17.0,-13.0,-9.0,11.0,31.0,21.0,7.0,13.0
242,-4.0,18.0,-16.0,-14.0,-8.0,12.0,30.0,22.0,6.0,14.0
243,-5.0,19.0,-15.0,-15.0,-7.0,13.0,29.0,23.0,7.0,13.0
244,-4.0,20.0,-14.0,-14.0,-6.0,12.0,28.0,22.0,6.0,12.0
245,-5.0,19.0,-15.0,-15.0,-5.0,13.0,29.0,23.0,5.0,11.0
246,-4.0,20.0,-16.0,-16.0,-4.0,14.0,30.0,22.0,4.0,12.0
247,-3.0,21.0,-15.0,-15.0,-3.0,13.0,29.0,21.0,3.0,11.0
248,-2.0,22.0,-16.0,-16.0,-2.0,14.0,28.0,20.0,4.0,12.0
249,-1.0,21.0,-15.0,-17.0,-3.0,15.0,27.0,21.0,5.0,11.0
250,-2.0,20.0,-16.0,-16.0,-2.0,16.0,26.0,20.0,4.0,12.0
251,-1.0,19.0,-15.0,-15.0,-3.0,17.0,27.0,19.0,5.0,13.0
252,-2.0,18.0,-16.0,-14.0,-2.0,18.0,26.0,18.0,4.0,12.0
253,-1.0,19.0,-15.0,-13.0,-1.0,19.0,27.0,19.0,5.0,13.0
254,-2.0,18.0,-16.0,-14.0,-2.0,18.0,26.0,18.0,4.0,12.0
255,-1.0,19.0,-17.0,-15.0,-1.0,19.0,25.0,17.0,5.0,13.0
256,-2.0,18.0,-16.0,-14.0,-2.0,18.0,24.0,18.0,6.0,12.0
257,-1.0,17.0,-15.0,-15.0,-3.0,19.0,23.0,19.0,5.0,11.0
258,-2.0,18.0,-16.0,-14.0,-4.0,20.0,22.0,20.0,4.0,12.0
259,-3.0,17.0,-17.0,-15.0,-5.0,19.0,21.0,19.0,3.0,11.0
260,-4.0,18.0,-18.0,-14.0,-4.0,18.0,22.0,18.0,4.0,12.0
261,-5.0,19.0,-19.0,-13.0,-3.0,17.0,23.0,17.0,3.0,13.0
262,-4.0,18.0,-18.0,-14.0,-4.0,18.0,22.0,18.0,2.0,12.0
263,-3.0,19.0,-19.0,-15.0,-3.0,19.0,23.0,17.0,1.0,13.0
264,-2.0,20.0,-18.0,-14.0,-2.0,20.0,24.0,18.0,2.0,12.0
265,-3.0,21.0,-19.0,-15.0,-1.0,19.0,25.0,19.0,1.0,13.0
266,-2.0,22.0,-18.0,-14.0,0.0,20.0,26.0,18.0,0.0,12.0
267,-1.0,23.0,-17.0,-13.0,1.0,21.0,27.0,19.0,1.0,13.0
268,0.0,24.0,-18.0,-14.0,2.0,22.0,26.0,18.0,2.0,14.0
269,-1.0,25.0,-17.0,-15.0,3.0,23.0,25.0,17.0,3.0,13.0
270,0.0,26.0,-16.0,-14.0,4.0,24.0,26.0,18.0,4.0,14.0
271,1.0,25.0,-15.0,-15.0,5.0,25.0,25.0,19.0,3.0,15.0
272,2.0,24.0,-14.0,-16.0,6.0,24.0,26.0,18.0,2.0,16.0
273,1.0,25.0,-13.0,-17.0,5.0,25.0,27.0,17.0,1.0,17.0
274,2.0,24.0,-12.0,-18.0,6.0,24.0,28.0,16.0,2.0,16.0
275,1.0,23.0,-11.0,-17.0,7.0,23.0,27.0,15.0,3.0,17.0
276,2.0,22.0,-10.0,-18.0,8.0,24.0,26.0,16.0,2.0,18.0
277,3.0,21.0,-9.0,-19.0,9.0,25.0,25.0,17.0,1.0,19.0
278,2.0,20.0,-8.0,-18.0,10.0,24.0,24.0,16.0,2.0,20.0
279,3.0,19.0,-9.0,-17.0,11.0,23.0,23.0,17.0,3.0,19.0
280,4.0,20.0,-10.0,-18.0,12.0,24.0,22.0,16.0,2.0,20.0
281,3.0,21.0,-11.0,-17.0,11.0,25.0,21.0,17.0,1.0,21.0
282,2.0,22.0,-10.0,-18.0,12.0,26.0,20.0,16.0,2.0,20.0
283,3.0,23.0,-9.0,-17.0,13.0,27.0,21.0,15.0,1.0,19.0
284,4.0,24.0,-8.0,-16.0,14.0,28.0,22.0,16.0,2.0,20.0
285,3.0,23.0,-9.0,-15.0,15.0,29.0,21.0,15.0,1.0,21.0
286,2.0,24.0,-10.0,-14.0,14.0,30.0,20.0,16.0,0.0,22.0
287,1.0,25.0,-11.0,-13.0,13.0,31.0,19.0,17.0,-1.0,23.0
288,2.0,26.0,-10.0,-12.0,14.0,30.0,18.0,16.0,-2.0,22.0
289,3.0,25.0,-9.0,-13.0,15.0,29.0,19.0,15.0,-1.0,21.0
290,2.0,26.0,-10.0,-12.0,14.0,28.0,20.0,14.0,0.0,20.0
291,3.0,27.0,-9.0,-11.0,15.0,29.0,21.0,15.0,1.0,21.0
292,4.0,28.0,-10.0,-12.0,14.0,30.0,22.0,14.0,0.0,20.0
293,5.0,29.0,-9.0,-11.0,15.0,31.0,21.0,13.0,-1.0,19.0
294,4.0,30.0,-8.0,-12.0,14.0,32.0,22.0,12.0,-2.0,20.0
295,3.0,29.0,-7.0,-11.0,13.0,31.0,23.0,13.0,-1.0,19.0
296,2.0,30.0,-6.0,-12.0,12.0,32.0,22.0,12.0,0.0,20.0
297,1.0,31.0,-7.0,-11.0,13.0,31.0,23.0,11.0,-1.0,21.0
298,0.0,32.0,-8.0,-10.0,12.0,30.0,24.0,10.0,0.0,20.0
299,1.0,33.0,-9.0,-11.0,13.0,31.0,25.0,9.0,-1.0,21.0
300,2.0,32.0,-8.0,-12.0,14.0,30.0,26.0,10.0,-2.0,22.0
301,3.0,33.0,-7.0,-11.0,13.0,29.0,25.0,9.0,-1.0,23.0
302,4.0,34.0,-6.0,-10.0,14.0,30.0,26.0,10.0,0.0,24.0
303,5.0,35.0,-7.0,-11.0,15.0,31.0,25.0,9.0,1.0,25.0
